STORE NAME#@LICENSE ID#@ACCOUNT NUMBER#@SQUARE FEET#@BUFFER SIZE#@ADDRESS#@ZIP CODE#@COMMUNITY AREA NAME#@COMMUNITY AREA#@WARD#@CENSUS TRACT#@CENSUS BLOCK#@X COORDINATE#@Y COORDINATE#@LATITUDE#@LONGITUDE#@LOCATION
ALDI INC #64#@13976#@5273#@11760#@A#@1767 N MILWAUKEE AVE#@60647#@WEST TOWN#@24#@32#@17031831000#@170318310001003#@1161475.23315908#@1911773.99360501#@41.91358779#@-87.6822028354#@(41.9135877900, -87.6822028354)"
ALDI INC #83#@13990#@5273#@16300#@A#@8333 S CICERO AVE#@60652#@ASHBURN#@70#@18#@17031700302#@170317003023005#@1145926.58767735#@1848735.59126715#@41.7409110654#@-87.7409228594#@(41.7409110654, -87.7409228594)"
ALDI INC #92#@13996#@5273#@19410#@A#@620 W 63RD ST#@60621#@ENGLEWOOD#@68#@16#@17031680900#@170316809004003#@1173102.90403762#@1863153.86166402#@41.7799200473#@-87.6409255107#@(41.7799200473, -87.6409255107)"
ALDI INC.#94#@14010#@5273#@10001#@A#@6025 S WESTERN AVE#@60636#@CHICAGO LAWN#@66#@16#@17031835000#@170318350001001#@1161445.94463378#@1864537.2371817#@41.7839658423#@-87.6836233778#@(41.7839658423, -87.6836233778)"
ALDI INC. #96#@1868821#@5273#@16117#@A#@821 W 115TH ST#@60643#@WEST PULLMAN#@53#@34#@17031530300#@170315303001000#@1172808.5237505#@1828547.01957988#@41.6849606404#@-87.6430223096#@(41.6849606404, -87.6430223096)"
ALDI INC STORE 14#@1242812#@5273#@15000#@A#@5629 W FILLMORE ST#@60644#@AUSTIN#@25#@29#@17031831400#@170318314002056#@1138888.16023079#@1894751.19171586#@41.8673156479#@-87.765597943#@(41.8673156479, -87.7655979430)"
ALDI INC STORE #16#@1226990#@5273#@20848#@A#@1246 E 87TH ST#@60619#@AVALON PARK#@45#@8#@17031834300#@170318343005004#@1186130.2220096#@1847590.65238454#@41.736915346#@-87.5936566218#@(41.7369153460, -87.5936566218)"
ALDI INC STORE #62#@14006#@5273#@9495#@B#@1739 W CERMAK RD#@60608#@LOWER WEST SIDE#@31#@25#@17031843200#@170318432002043#@1164949.34597551#@1889411.85236391#@41.8521511995#@-87.6700746019#@(41.8521511995, -87.6700746019)"
ALDI INC STORE #90#@14008#@5273#@16340#@A#@9017 S HALSTED ST#@60620#@AUBURN GRESHAM#@71#@21#@17031711500#@170317115002037#@1172597.81124959#@1845066.5303352#@41.7302972736#@-87.6433090924#@(41.7302972736, -87.6433090924)"
ALDI INC STORE #95#@14011#@5273#@37000#@A#@2333 E 95TH ST#@60617#@SOUTH DEERING#@51#@7#@17031510300#@170315103001005#@1193541.80334016#@1842389.98947244#@41.722466242#@-87.5666730521#@(41.7224662420, -87.5666730521)"
ALDI'S#@1817904#@5273#@11179#@A#@6520 W FULLERTON AVE#@60707#@BELMONT CRAGIN#@19#@36#@17031831500#@170318315001045#@1132452.10314638#@1915278.7515644#@41.9237604017#@-87.7887477626#@(41.9237604017, -87.7887477626)"
ALDI'S#@1817903#@5273#@15255#@A#@4500 N BROADWAY#@60640#@UPTOWN#@3#@46#@17031830700#@170318307004004#@1168297.69048742#@1930121.3669074#@41.9637889643#@-87.6566064924#@(41.9637889643, -87.6566064924)"
ALDI'S #08#@1743166#@5273#@16890#@A#@7333 S STATE ST#@60619#@GREATER GRAND CROSSING#@69#@6#@17031691000#@170316910003005#@1177594.9036083#@1856252.26024759#@41.760880872#@-87.6246657846#@(41.7608808720, -87.6246657846)"
ALDI'S # 26#@1821323#@5273#@16550#@A#@10532 S INDIANAPOLIS AVE#@60617#@EAST SIDE#@52#@10#@17031520100#@170315201001079#@1204788.06348842#@1835640.29192161#@41.7036623609#@-87.5257124268#@(41.7036623609, -87.5257124268)"
ALDI'S #47#@1619769#@5273#@16370#@A#@1508 W 47TH ST#@60609#@NEW CITY#@61#@3#@17031842600#@170318426002057#@1167024.29716374#@1873608.65313643#@41.8087413884#@-87.6629116285#@(41.8087413884, -87.6629116285)"
ALDI'S #93#@1743165#@5273#@16890#@A#@7545 S WESTERN AVE#@60620#@ASHBURN#@70#@18#@17031700100#@170317001002053#@1161731.57422649#@1854361.07618049#@41.756035091#@-87.6828583216#@(41.7560350910, -87.6828583216)"
ALDI'S FOODS BELMONT#@1975886#@5273#@18600#@A#@3320 W BELMONT AVE#@60618#@AVONDALE#@21#@35#@17031831100#@170318311001026#@1153595.92766971#@1921123.89871911#@41.9394051879#@-87.7109005918#@(41.9394051879, -87.7109005918)"
ALLA'S FOOD#@1068956#@204849#@3500#@B#@2024 E 93RD ST#@60617#@CALUMET HEIGHTS#@48#@8#@17031480400#@170314804004023#@1191449.68291255#@1843746.80435547#@41.7262403487#@-87.5742922611#@(41.7262403487, -87.5742922611)"
ALL STAR FOOD & LIQUOR#@1922124#@319069#@4200#@B#@2911 S ARCHER AVE#@60608#@BRIDGEPORT#@60#@11#@17031600700#@170316007001000#@1168263.56677189#@1885550.36568435#@41.8414840391#@-87.6580219776#@(41.8414840391, -87.6580219776)"
ALMUFLIHI FOOD & LIQUOR#@62800#@86373#@4500#@B#@5404 S HALSTED ST#@60609#@NEW CITY#@61#@20#@17031612100#@170316121001039#@1171851.22028303#@1868956.53546278#@41.7958707987#@-87.6453441182#@(41.7958707987, -87.6453441182)"
AM-PM FOOD MART & CELLULAR#@1093813#@207399#@3500#@B#@1924 E 87TH ST#@60617#@AVALON PARK#@45#@8#@17031450300#@170314503003028#@1190653.50470709#@1847714.11133096#@41.7371462539#@-87.5770809934#@(41.7371462539, -87.5770809934)"
ANAR INC#@31219#@14297#@10001#@A#@935 E 79TH ST#@60619#@CHATHAM#@44#@8#@17031440101#@170314401011006#@1183972.09052547#@1852784.31380034#@41.7512179339#@-87.6014014102#@(41.7512179339, -87.6014014102)"
ANDYS FRUIT RANCH#@1275209#@3868#@15000#@A#@4733 N KEDZIE AVE#@60625#@ALBANY PARK#@14#@33#@17031140800#@170311408005008#@1154227.46397371#@1931413.9453359#@41.9676291597#@-87.7083036873#@(41.9676291597, -87.7083036873)"
